customer_id,customer_type
C00001,returning
C00002,new
C00003,new
C00004,new
C00005,returning
C00006,returning
C00007,returning
C00008,new
C00009,returning
C00010,new
C00011,new
C00012,returning
C00013,new
C00014,new
C00015,returning
C00016,returning
C00017,new
C00018,returning
C00019,returning
C00020,new
C00021,returning
C00022,returning
C00023,new
C00024,new
C00025,returning
C00026,new
C00027,new
C00028,new
C00029,returning
C00030,returning
C00031,returning
C00032,returning
C00033,returning
C00034,returning
C00035,returning
C00036,returning
C00037,returning
C00038,returning
C00039,returning
C00040,returning
C00041,returning
C00042,new
C00043,new
C00044,new
C00045,new
C00046,new
C00047,new
C00048,new
C00049,returning
C00050,returning
C00051,returning
C00052,new
C00053,new
C00054,returning
C00055,returning
C00056,returning
C00057,new
C00058,returning
C00059,new
C00060,returning
C00061,returning
C00062,returning
C00063,returning
C00064,returning
C00065,returning
C00066,returning
C00067,new
C00068,new
C00069,new
C00070,new
C00071,new
C00072,returning
C00073,returning
C00074,new
C00075,returning
C00076,returning
C00077,returning
C00078,returning
C00079,new
C00080,new
C00081,returning
C00082,new
C00083,returning
C00084,returning
C00085,returning
C00086,new
C00087,returning
C00088,returning
C00089,new
C00090,new
C00091,new
C00092,returning
C00093,returning
C00094,returning
C00095,new
C00096,returning
C00097,returning
C00098,returning
C00099,returning
C00100,returning
C00101,new
C00102,returning
C00103,returning
C00104,returning
C00105,new
C00106,returning
C00107,new
C00108,returning
C00109,returning
C00110,returning
C00111,returning
C00112,new
C00113,returning
C00114,new
C00115,returning
C00116,returning
C00117,new
C00118,returning
C00119,returning
C00120,new
C00121,returning
C00122,returning
C00123,returning
C00124,returning
C00125,new
C00126,new
C00127,new
C00128,returning
C00129,returning
C00130,returning
C00131,new
C00132,new
C00133,returning
C00134,returning
C00135,new
C00136,returning
C00137,new
C00138,returning
C00139,returning
C00140,new
C00141,returning
C00142,returning
C00143,new
C00144,returning
C00145,returning
C00146,new
C00147,returning
C00148,returning
C00149,new
C00150,new
C00151,returning
C00152,returning
C00153,returning
C00154,returning
C00155,new
C00156,new
C00157,new
C00158,returning
C00159,new
C00160,new
C00161,new
C00162,returning
C00163,new
C00164,returning
C00165,returning
C00166,new
C00167,new
C00168,returning
C00169,new
C00170,new
C00171,returning
C00172,returning
C00173,returning
C00174,returning
C00175,returning
C00176,new
C00177,new
C00178,returning
C00179,returning
C00180,returning
C00181,returning
C00182,returning
C00183,returning
C00184,new
C00185,returning
C00186,new
C00187,returning
C00188,new
C00189,new
C00190,returning
C00191,returning
C00192,new
C00193,new
C00194,returning
C00195,returning
C00196,returning
C00197,returning
C00198,new
C00199,returning
C00200,returning
C00201,returning
C00202,returning
C00203,returning
C00204,new
C00205,returning
C00206,new
C00207,returning
C00208,new
C00209,returning
C00210,returning
C00211,new
C00212,returning
C00213,returning
C00214,returning
C00215,returning
C00216,returning
C00217,returning
C00218,returning
C00219,new
C00220,new
C00221,returning
C00222,returning
C00223,returning
C00224,returning
C00225,new
C00226,returning
C00227,returning
C00228,returning
C00229,new
C00230,returning
C00231,new
C00232,new
C00233,returning
C00234,returning
C00235,new
C00236,new
C00237,returning
C00238,new
C00239,returning
C00240,returning
C00241,returning
C00242,returning
C00243,returning
C00244,returning
C00245,new
C00246,returning
C00247,new
C00248,returning
C00249,returning
C00250,new
C00251,new
C00252,returning
C00253,new
C00254,returning
C00255,returning
C00256,returning
C00257,new
C00258,new
C00259,new
C00260,returning
C00261,returning
C00262,returning
C00263,returning
C00264,new
C00265,returning
C00266,returning
C00267,returning
C00268,returning
C00269,returning
C00270,new
C00271,returning
C00272,new
C00273,returning
C00274,returning
C00275,new
C00276,new
C00277,new
C00278,returning
C00279,new
C00280,returning
C00281,returning
C00282,new
C00283,returning
C00284,new
C00285,returning
C00286,returning
C00287,returning
C00288,new
C00289,returning
C00290,new
C00291,new
C00292,returning
C00293,returning
C00294,new
C00295,returning
C00296,returning
C00297,returning
C00298,new
C00299,new
C00300,returning
C00301,returning
C00302,returning
C00303,returning
C00304,returning
C00305,new
C00306,new
C00307,new
C00308,returning
C00309,returning
C00310,returning
C00311,returning
C00312,new
C00313,new
C00314,new
C00315,returning
C00316,returning
C00317,returning
C00318,returning
C00319,new
C00320,returning
C00321,returning
C00322,returning
C00323,returning
C00324,returning
C00325,new
C00326,returning
C00327,new
C00328,returning
C00329,returning
C00330,returning
C00331,returning
C00332,new
C00333,returning
C00334,new
C00335,returning
C00336,returning
C00337,new
C00338,returning
C00339,returning
C00340,new
C00341,returning
C00342,new
C00343,new
C00344,new
C00345,new
C00346,returning
C00347,returning
C00348,new
C00349,returning
C00350,returning
C00351,returning
C00352,returning
C00353,returning
C00354,new
C00355,returning
C00356,new
C00357,returning
C00358,new
C00359,new
C00360,returning
C00361,returning
C00362,new
C00363,returning
C00364,returning
C00365,returning
C00366,returning
C00367,new
C00368,returning
C00369,new
C00370,returning
C00371,returning
C00372,returning
C00373,returning
C00374,returning
C00375,returning
C00376,new
C00377,returning
C00378,new
C00379,new
C00380,returning
C00381,returning
C00382,new
C00383,new
C00384,returning
C00385,returning
C00386,new
C00387,new
C00388,returning
C00389,returning
C00390,returning
C00391,returning
C00392,returning
C00393,new
C00394,returning
C00395,new
C00396,new
C00397,returning
C00398,returning
C00399,returning
C00400,returning
C00401,returning
C00402,new
C00403,returning
C00404,returning
C00405,returning
C00406,new
C00407,new
C00408,returning
C00409,returning
C00410,new
C00411,returning
C00412,returning
C00413,returning
C00414,new
C00415,new
C00416,new
C00417,new
C00418,returning
C00419,returning
C00420,new
C00421,returning
C00422,returning
C00423,new
C00424,returning
C00425,returning
C00426,new
C00427,returning
C00428,new
C00429,returning
C00430,returning
C00431,new
C00432,returning
C00433,new
C00434,returning
C00435,returning
C00436,new
C00437,new
C00438,returning
C00439,returning
C00440,returning
C00441,returning
C00442,returning
C00443,returning
C00444,returning
C00445,returning
C00446,returning
C00447,returning
C00448,returning
C00449,returning
C00450,returning
C00451,returning
C00452,returning
C00453,returning
C00454,new
C00455,new
C00456,returning
C00457,returning
C00458,returning
C00459,returning
C00460,new
C00461,new
C00462,new
C00463,new
C00464,new
C00465,returning
C00466,new
C00467,new
C00468,returning
C00469,returning
C00470,new
C00471,returning
C00472,returning
C00473,returning
C00474,new
C00475,returning
C00476,returning
C00477,returning
C00478,returning
C00479,returning
C00480,returning
C00481,returning
C00482,new
C00483,returning
C00484,returning
C00485,returning
C00486,returning
C00487,returning
C00488,returning
C00489,returning
C00490,returning
C00491,new
C00492,new
C00493,returning
C00494,new
C00495,new
C00496,returning
C00497,returning
C00498,new
C00499,returning
C00500,new
C00501,returning
C00502,new
C00503,returning
C00504,returning
C00505,new
C00506,returning
C00507,new
C00508,returning
C00509,new
C00510,returning
C00511,new
C00512,new
C00513,returning
C00514,returning
C00515,returning
C00516,returning
C00517,new
C00518,new
C00519,new
C00520,returning
C00521,returning
C00522,new
C00523,returning
C00524,returning
C00525,returning
C00526,returning
C00527,returning
C00528,new
C00529,new
C00530,new
C00531,new
C00532,returning
C00533,returning
C00534,new
C00535,returning
C00536,returning
C00537,new
C00538,returning
C00539,returning
C00540,new
C00541,returning
C00542,returning
C00543,new
C00544,new
C00545,new
C00546,returning
C00547,returning
C00548,returning
C00549,returning
C00550,new
C00551,returning
C00552,returning
C00553,new
C00554,returning
C00555,returning
C00556,returning
C00557,new
C00558,returning
C00559,returning
C00560,new
C00561,returning
C00562,returning
C00563,returning
C00564,new
C00565,returning
C00566,returning
C00567,new
C00568,returning
C00569,returning
C00570,returning
C00571,returning
C00572,returning
C00573,returning
C00574,returning
C00575,new
C00576,returning
C00577,returning
C00578,returning
C00579,returning
C00580,returning
C00581,new
C00582,returning
C00583,returning
C00584,new
C00585,returning
C00586,new
C00587,returning
C00588,returning
C00589,returning
C00590,new
C00591,returning
C00592,new
C00593,new
C00594,returning
C00595,new
C00596,returning
C00597,returning
C00598,new
C00599,new
C00600,returning
C00601,new
C00602,returning
C00603,returning
C00604,returning
C00605,returning
C00606,returning
C00607,returning
C00608,returning
C00609,new
C00610,new
C00611,returning
C00612,new
C00613,returning
C00614,returning
C00615,returning
C00616,returning
C00617,returning
C00618,new
C00619,returning
C00620,new
C00621,new
C00622,new
C00623,new
C00624,new
C00625,returning
C00626,returning
C00627,new
C00628,new
C00629,returning
C00630,returning
C00631,returning
C00632,returning
C00633,new
C00634,new
C00635,new
C00636,new
C00637,new
C00638,new
C00639,returning
C00640,new
C00641,returning
C00642,returning
C00643,returning
C00644,new
C00645,returning
C00646,returning
C00647,returning
C00648,returning
C00649,returning
C00650,returning
C00651,new
C00652,new
C00653,returning
C00654,returning
C00655,returning
C00656,returning
C00657,new
C00658,returning
C00659,new
C00660,new
C00661,returning
C00662,new
C00663,returning
C00664,new
C00665,returning
C00666,returning
C00667,returning
C00668,new
C00669,returning
C00670,returning
C00671,returning
C00672,returning
C00673,returning
C00674,new
C00675,returning
C00676,returning
C00677,returning
C00678,returning
C00679,new
C00680,new
C00681,returning
C00682,new
C00683,new
C00684,new
C00685,new
C00686,returning
C00687,returning
C00688,new
C00689,new
C00690,returning
C00691,returning
C00692,returning
C00693,returning
C00694,returning
C00695,returning
C00696,returning
C00697,returning
C00698,returning
C00699,returning
C00700,returning
C00701,returning
C00702,returning
C00703,returning
C00704,new
C00705,new
C00706,new
C00707,returning
C00708,returning
C00709,new
C00710,new
C00711,returning
C00712,returning
C00713,returning
C00714,returning
C00715,returning
C00716,new
C00717,new
C00718,returning
C00719,new
C00720,new
C00721,new
C00722,returning
C00723,returning
C00724,returning
C00725,returning
C00726,returning
C00727,returning
C00728,new
C00729,new
C00730,returning
C00731,returning
C00732,returning
C00733,returning
C00734,new
C00735,returning
C00736,returning
C00737,returning
C00738,new
C00739,new
C00740,new
C00741,returning
C00742,returning
C00743,new
C00744,returning
C00745,new
C00746,returning
C00747,returning
C00748,returning
C00749,returning
C00750,new
C00751,new
C00752,returning
C00753,returning
C00754,returning
C00755,returning
C00756,returning
C00757,returning
C00758,returning
C00759,new
C00760,returning
C00761,returning
C00762,returning
C00763,returning
C00764,new
C00765,returning
C00766,returning
C00767,returning
C00768,returning
C00769,new
C00770,returning
C00771,returning
C00772,new
C00773,new
C00774,returning
C00775,returning
C00776,new
C00777,returning
C00778,returning
C00779,returning
C00780,new
C00781,returning
C00782,returning
C00783,returning
C00784,returning
C00785,new
C00786,returning
C00787,returning
C00788,new
C00789,returning
C00790,returning
C00791,returning
C00792,returning
C00793,returning
C00794,returning
C00795,new
C00796,returning
C00797,returning
C00798,returning
C00799,returning
C00800,returning
C00801,new
C00802,new
C00803,returning
C00804,returning
C00805,returning
C00806,new
C00807,returning
C00808,new
C00809,returning
C00810,returning
C00811,returning
C00812,new
C00813,new
C00814,returning
C00815,returning
C00816,new
C00817,returning
C00818,new
C00819,returning
C00820,returning
C00821,returning
C00822,returning
C00823,returning
C00824,returning
C00825,returning
C00826,returning
C00827,new
C00828,returning
C00829,returning
C00830,returning
C00831,returning
C00832,returning
C00833,returning
C00834,returning
C00835,returning
C00836,returning
C00837,returning
C00838,new
C00839,returning
C00840,returning
C00841,new
C00842,returning
C00843,returning
C00844,returning
C00845,returning
C00846,returning
C00847,returning
C00848,new
C00849,returning
C00850,returning
C00851,returning
C00852,new
C00853,new
C00854,returning
C00855,returning
C00856,returning
C00857,returning
C00858,returning
C00859,new
C00860,returning
C00861,returning
C00862,returning
C00863,returning
C00864,returning
C00865,new
C00866,returning
C00867,new
C00868,returning
C00869,new
C00870,returning
C00871,returning
C00872,returning
C00873,new
C00874,new
C00875,returning
C00876,returning
C00877,new
C00878,returning
C00879,new
C00880,returning
C00881,new
C00882,new
C00883,new
C00884,returning
C00885,returning
C00886,returning
C00887,new
C00888,returning
C00889,new
C00890,returning
C00891,returning
C00892,returning
C00893,new
C00894,returning
C00895,new
C00896,returning
C00897,returning
C00898,new
C00899,returning
C00900,returning
C00901,returning
C00902,new
C00903,returning
C00904,returning
C00905,new
C00906,returning
C00907,returning
C00908,returning
C00909,new
C00910,returning
C00911,returning
C00912,returning
C00913,new
C00914,returning
C00915,returning
C00916,returning
C00917,returning
C00918,returning
C00919,returning
C00920,returning
C00921,returning
C00922,returning
C00923,returning
C00924,returning
C00925,returning
