transaction_id,customer_id,amount,payment_method,device,timestamp,status,failure_reason,retry_count,customer_type,checkout_started,checkout_completed
TX000001,C09239,1631.69,NETBANKING,desktop,2026-08-02 14:37:00,success,,0,returning,True,True
TX000002,C05667,981.8,WALLET,desktop,2026-08-28 05:20:00,success,,0,new,True,True
TX000003,C01321,909.3,NETBANKING,mobile,2026-08-06 21:24:00,success,,0,returning,True,True
TX000004,C04433,909.31,CARD,mobile,2026-08-23 14:24:00,success,,0,new,True,True
TX000005,C08317,3879.15,UPI,mobile,2026-08-22 17:39:00,failed,BANK_ERROR,1,returning,True,True
TX000006,C00907,2026.26,UPI,desktop,2026-08-09 22:16:00,success,,0,returning,True,True
TX000007,C08753,753.27,CARD,mobile,2026-08-01 19:45:00,success,,0,new,True,True
TX000008,C09053,1692.65,CARD,mobile,2026-08-18 04:02:00,success,,0,returning,True,True
TX000009,C02052,1330.85,UPI,mobile,2026-08-07 06:28:00,success,,0,returning,True,True
TX000010,C01894,237.31,UPI,desktop,2026-08-17 17:38:00,success,,0,returning,True,True
TX000011,C05764,487.72,UPI,mobile,2026-08-03 15:16:00,success,,0,new,True,True
TX000012,C03903,1410.07,UPI,mobile,2026-08-11 08:04:00,success,,0,new,True,True
TX000013,C06768,3542.26,CARD,desktop,2026-08-25 09:41:00,success,,0,new,True,True
TX000014,C09307,915.42,UPI,desktop,2026-08-12 08:58:00,success,,0,new,True,True
TX000015,C00932,709.45,UPI,mobile,2026-08-09 05:15:00,success,,0,returning,True,True
TX000016,C04631,1198.39,UPI,mobile,2026-08-30 19:39:00,success,,0,returning,True,True
TX000017,C04002,678.23,WALLET,mobile,2026-08-19 02:31:00,success,,0,returning,True,True
TX000018,C07844,868.39,CARD,mobile,2026-08-04 11:25:00,success,,0,new,True,True
TX000019,C04100,1084.86,NETBANKING,mobile,2026-08-17 05:53:00,failed,CARD_DECLINED,1,new,True,False
TX000020,C04960,470.52,NETBANKING,desktop,2026-08-14 07:41:00,success,,0,new,True,True
TX000021,C04002,2117.59,CARD,mobile,2026-08-25 15:22:00,success,,0,returning,True,True
TX000022,C08249,412.95,UPI,mobile,2026-08-19 16:44:00,success,,0,returning,True,True
TX000023,C07967,378.97,UPI,mobile,2026-08-07 05:47:00,success,,0,returning,True,True
TX000024,C08536,1283.68,UPI,desktop,2026-08-10 14:12:00,success,,0,returning,True,True
TX000025,C02012,1979.84,UPI,desktop,2026-08-07 11:03:00,success,,0,returning,True,True
TX000026,C00588,1257.77,WALLET,mobile,2026-08-30 13:52:00,success,,0,returning,True,True
TX000027,C07435,999.73,WALLET,mobile,2026-08-02 12:52:00,success,,0,new,True,True
TX000028,C04429,861.88,UPI,mobile,2026-08-04 20:17:00,success,,0,returning,True,True
TX000029,C00979,758.61,UPI,mobile,2026-08-23 13:03:00,success,,0,new,True,True
TX000030,C00309,2554.72,NETBANKING,mobile,2026-08-03 00:30:00,success,,0,returning,True,True
TX000031,C03678,1421.21,UPI,mobile,2026-08-20 14:51:00,success,,0,returning,True,True
TX000032,C08725,805.88,UPI,mobile,2026-08-25 15:30:00,success,,0,returning,True,True
TX000033,C05699,638.08,NETBANKING,desktop,2026-08-16 07:14:00,failed,CARD_DECLINED,2,returning,True,False
TX000034,C09683,1788.87,UPI,mobile,2026-08-29 06:52:00,success,,0,new,True,True
TX000035,C07112,2501.88,NETBANKING,desktop,2026-08-03 14:23:00,success,,0,returning,True,True
TX000036,C01790,2310.05,CARD,tablet,2026-08-14 01:56:00,success,,0,new,True,True
TX000037,C08762,560.39,CARD,mobile,2026-08-26 20:44:00,success,,0,new,True,True
TX000038,C08502,856.31,UPI,tablet,2026-08-22 06:27:00,success,,0,new,True,True
TX000039,C03904,747.44,UPI,mobile,2026-08-13 11:42:00,success,,0,returning,True,True
TX000040,C01402,945.27,WALLET,desktop,2026-08-14 11:07:00,success,,0,new,True,True
